subclass,label,Acteur_Social_IEML,Code_IEML,Score_Similarite,Validation_Requise
Q1762621,fournisseur,investisseur,t.a.-d.a.-f.o.-',0.48,False
Q786820,constructeur automobile,auteur,b.a.-b.a.-f.o.-',0.35,True
Q1714828,chasseur ou chasseresse,investisseur,t.a.-d.a.-f.o.-',0.34,True
Q10694573,artiste textile,archiviste,t.a.-l.a.-f.o.-',0.32,True
Q28966333,needleworker,ouvrier,m.a.-l.a.-f.o.-',0.17,True
Q3374326,peintre muraliste,journaliste,n.a.-b.a.-f.o.-',0.48,False
Q2914170,artiste de rue,archiviste,t.a.-l.a.-f.o.-',0.29,True
Q3391743,artiste visuel ou artiste visuelle,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q27105472,déménageur ou déménageuse,manager,l.a.-s.a.-f.o.-',0.33,True
Q2478141,aristocrate,secouriste,f.a.-l.a.-f.o.-',0.27,True
Q833418,charron,pharmacien,t.a.-f.a.-f.o.-',0.14,True
Q708492,conseiller municipal,consultant,f.a.-s.a.-f.o.-',0.28,True
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q18536342,joueur professionnel ou joueuse professionnelle,joueur,m.a.-b.a.-f.o.-',0.75,False
Q2309784,cycliste,journaliste,n.a.-b.a.-f.o.-',0.46,False
Q2309784,cycliste,journaliste,n.a.-b.a.-f.o.-',0.46,False
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q47064,militaire,publicitaire,b.a.-d.a.-f.o.-',0.47,False
Q2868277,associé,assureur,f.a.-t.a.-f.o.-',0.28,True
Q9200127,membre,mere,f.a.-m.a.-f.o.-',0.4,False
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q593644,chimiste,archiviste,t.a.-l.a.-f.o.-',0.43,False
Q169470,physicien ou physicienne,musicien,f.a.-b.a.-f.o.-',0.62,False
Q13416354,minéralogiste,écologiste,l.a.-f.a.-f.o.-',0.71,False
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q5780518,communicateur,médiateur,m.a.-s.a.-f.o.-',0.25,True
Q202471,rapporteur,transporteur,b.a.-l.a.-f.o.-',0.59,False
Q12716225,contre-révolutionnaire,fonctionnaire,t.a.-k.a.-f.o.-',0.61,False
Q12737077,activité,activiste,b.a.-k.a.-f.o.-',0.74,False
Q1419997,responsable événementiel,comptable,b.a.-t.a.-f.o.-',0.34,True
Q13381863,escrimeur,acteur,s.a.-b.a.-f.o.-',0.28,True
Q192350,ministère,père,n.a.-m.a.-f.o.-',0.47,False
Q4504549,religieux,relation publique,l.a.-b.a.-f.o.-',0.24,True
Q352507,pasteur,acteur,s.a.-b.a.-f.o.-',0.3,True
Q467,femme,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q15978876,état de sainteté,agent de,d.a.-l.a.-f.o.-',0.28,True
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q185351,juriste,secouriste,f.a.-l.a.-f.o.-',0.55,False
Q11997597,représentant,consultant,f.a.-s.a.-f.o.-',0.28,True
Q108290642,shoemakers and related workers,relation publique,l.a.-b.a.-f.o.-',0.36,True
Q27943370,personnalité du monde de la mode,agent de,d.a.-l.a.-f.o.-',0.29,True
Q16402902,maroquinier,banquier,d.a.-t.a.-f.o.-',0.3,True
Q5410500,foi,fondateur,t.a.-t.a.-f.o.-',0.22,True
Q1368409,éleveur,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.64,False
Q12059906,gardien de troupeau,agent de,d.a.-l.a.-f.o.-',0.34,True
Q3778211,personnalité juridique,juré,k.a.-n.a.-f.o.-',0.23,True
Q24229398,agent,agent de,d.a.-l.a.-f.o.-',0.89,False
Q215627,personne,fonctionnaire,t.a.-k.a.-f.o.-',0.18,True
Q84505214,spécialiste de l'Asie de l'Est,journaliste,n.a.-b.a.-f.o.-',0.36,True
Q1331793,entreprise médiatique,médiateur,m.a.-s.a.-f.o.-',0.47,False
Q18246606,éparque,relation publique,l.a.-b.a.-f.o.-',0.21,True
Q105275800,clerc orthodoxe,client,n.a.-d.a.-f.o.-',0.19,True
Q97378570,chrétien orthodoxe,musicien,f.a.-b.a.-f.o.-',0.21,True
Q213441,magasin,voisin,m.a.-k.a.-f.o.-',0.37,True
Q24229398,agent,agent de,d.a.-l.a.-f.o.-',0.89,False
Q83460,général,bénévole,m.a.-n.a.-f.o.-',0.15,True
Q6451216,three-star rank,transporteur,b.a.-l.a.-f.o.-',0.19,True
Q83460,général,bénévole,m.a.-n.a.-f.o.-',0.15,True
Q18536342,joueur professionnel ou joueuse professionnelle,joueur,m.a.-b.a.-f.o.-',0.75,False
Q3391743,artiste visuel ou artiste visuelle,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q1028181,peintre,ancêtre,t.a.-m.a.-f.o.-',0.27,True
Q15296811,dessinateur ou dessinatrice,médiateur,m.a.-s.a.-f.o.-',0.2,True
Q7541856,céramiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q15301511,peintre de vases,agent de,d.a.-l.a.-f.o.-',0.29,True
Q15301511,peintre de vases,agent de,d.a.-l.a.-f.o.-',0.29,True
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q663272,expert judiciaire,notaire,m.a.-t.a.-f.o.-',0.34,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q48282,étudiant ou étudiante,étudiant,d.a.-s.a.-f.o.-',0.97,False
Q48942,élève,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.16,True
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q2815948,architecte paysagiste,archiviste,t.a.-l.a.-f.o.-',0.57,False
Q33394058,travailleur manuel,travailleur social,f.a.-n.a.-f.o.-',0.74,False
Q54967928,freight handler,enseignant,d.a.-f.a.-f.o.-',0.13,True
Q1259323,chef de tribu,agent de,d.a.-l.a.-f.o.-',0.41,False
Q20650523,brigand,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q208217,science de la littérature,agent de,d.a.-l.a.-f.o.-',0.3,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q1650915,chercheur ou chercheuse,archiviste,t.a.-l.a.-f.o.-',0.17,True
Q54128,domestique,relation publique,l.a.-b.a.-f.o.-',0.31,True
Q6581072,féminin,voisin,m.a.-k.a.-f.o.-',0.22,True
Q974144,éducateur ou éducatrice,éditeur,t.a.-b.a.-f.o.-',0.24,True
Q108289425,administrative and specialized secretaries,spectateur,k.a.-b.a.-f.o.-',0.26,True
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q482980,auteur ou autrice,auteur,b.a.-b.a.-f.o.-',0.92,False
Q3630699,concepteur ou conceptrice de jeu,consultant,f.a.-s.a.-f.o.-',0.25,True
Q16390131,cryptologue,psychologue,s.a.-f.a.-f.o.-',0.62,False
Q3640160,biologiste marin,écologiste,l.a.-f.a.-f.o.-',0.75,False
Q16831394,mammalogiste,écologiste,l.a.-f.a.-f.o.-',0.69,False
Q15977971,travailleur du bois,travailleur social,f.a.-n.a.-f.o.-',0.8,False
Q2588761,travailleur qualifié ou travailleuse qualifiée,travailleur social,f.a.-n.a.-f.o.-',0.78,False
Q811122,travailleur de la construction,travailleur social,f.a.-n.a.-f.o.-',0.63,False
Q12049274,détaillant,secrétaire,k.a.-t.a.-f.o.-',0.2,True
Q57262082,food trade,traducteur,t.a.-s.a.-f.o.-',0.45,False
Q201788,historien ou historienne,ouvrier,m.a.-l.a.-f.o.-',0.18,True
Q19829999,culturologue,psychologue,s.a.-f.a.-f.o.-',0.5,False
Q3274496,machiniste,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q4887411,bienfaiteur ou bienfaitrice,enfant,d.a.-m.a.-f.o.-',0.37,True
Q516590,patron,partenaire,m.a.-d.a.-f.o.-',0.15,True
Q189010,notaire,notaire,m.a.-t.a.-f.o.-',1.0,False
Q7663860,architecte systèmes,archiviste,t.a.-l.a.-f.o.-',0.51,False
Q1572123,ingénieur système,inventeur,d.a.-d.a.-f.o.-',0.18,True
Q66495020,propriétaire terrien,secrétaire,k.a.-t.a.-f.o.-',0.4,False
Q43292,sultan,consultant,f.a.-s.a.-f.o.-',0.59,False
Q48352,chef d'État,avocat,n.a.-t.a.-f.o.-',0.15,True
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q838566,forgeron ou forgeronne,manager,l.a.-s.a.-f.o.-',0.13,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q3606537,repairperson,relation publique,l.a.-b.a.-f.o.-',0.17,True
Q11124885,pratiquant d'arts martiaux,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.29,True
Q462390,maître ou maîtresse de conférences,agent de,d.a.-l.a.-f.o.-',0.18,True
Q1622272,professeur ou professeure d'université,investisseur,t.a.-d.a.-f.o.-',0.36,True
Q1251441,responsable,comptable,b.a.-t.a.-f.o.-',0.4,False
Q82955,personnalité politique,politicien,s.a.-k.a.-f.o.-',0.51,False
Q428148,régulation,relation publique,l.a.-b.a.-f.o.-',0.51,False
Q895526,organe,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q11578774,émission,relation publique,l.a.-b.a.-f.o.-',0.23,True
Q11033,médias de masse,médiateur,m.a.-s.a.-f.o.-',0.53,False
Q110879422,œuvre audio,auteur,b.a.-b.a.-f.o.-',0.17,True
Q119649004,аудио-трансляция,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q12328016,mystique,relation publique,l.a.-b.a.-f.o.-',0.35,True
Q12797895,occultiste,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.28,True
Q5758653,enseignant ou enseignante du secondaire,enseignant,d.a.-f.a.-f.o.-',0.91,False
Q524778,commissaire,notaire,m.a.-t.a.-f.o.-',0.33,True
Q16334295,groupe d'humains,inspecteur,d.a.-k.a.-f.o.-',0.23,True
Q10366773,sacerdoce,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q214339,rôle social,travailleur social,f.a.-n.a.-f.o.-',0.56,False
Q816432,chef de projet,agent de,d.a.-l.a.-f.o.-',0.34,True
Q1658894,illusionniste,activiste,b.a.-k.a.-f.o.-',0.27,True
Q254508,hors-la-loi,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q11424604,géoscientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q11499147,militant ou militante politique,politicien,s.a.-k.a.-f.o.-',0.38,True
Q8359428,militant social,travailleur social,f.a.-n.a.-f.o.-',0.44,False
Q486839,parlementaire,notaire,m.a.-t.a.-f.o.-',0.44,False
Q4964182,philosophe,philosophe,s.a.-s.a.-f.o.-',1.0,False
Q201788,historien ou historienne,ouvrier,m.a.-l.a.-f.o.-',0.18,True
Q3779582,microbiologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q783906,neurologue,psychologue,s.a.-f.a.-f.o.-',0.57,False
Q3332438,médecin spécialiste,médecin,n.a.-f.a.-f.o.-',0.75,False
Q1919436,pédiatre,médiateur,m.a.-s.a.-f.o.-',0.49,False
Q2309900,timonier,ouvrier,m.a.-l.a.-f.o.-',0.3,True
Q957729,reporter-photographe,cartographe,l.a.-t.a.-f.o.-',0.64,False
Q811459,conducteur de travaux,traducteur,t.a.-s.a.-f.o.-',0.46,False
Q1456832,infraction,fonctionnaire,t.a.-k.a.-f.o.-',0.27,True
Q160128,trahison,traducteur,t.a.-s.a.-f.o.-',0.28,True
Q733786,moine ou moniale,témoin,d.a.-n.a.-f.o.-',0.32,True
Q70901436,clergé bouddhiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q15980158,auteur ou autrice de non-fiction,auteur,b.a.-b.a.-f.o.-',0.72,False
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q3972943,édition,éditeur,t.a.-b.a.-f.o.-',0.46,False
Q105044823,éditeur,éditeur,t.a.-b.a.-f.o.-',1.0,False
Q131512,agriculteur ou agricultrice,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.27,True
Q1622272,professeur ou professeure d'université,investisseur,t.a.-d.a.-f.o.-',0.36,True
Q5428874,personnel académique,relation publique,l.a.-b.a.-f.o.-',0.31,True
Q7810129,titre d'autorité,ancêtre,t.a.-m.a.-f.o.-',0.24,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q29645880,ambassadeur d'un pays,vendeur,k.a.-d.a.-f.o.-',0.34,True
Q740369,légat pontifical,législateur,t.a.-n.a.-f.o.-',0.24,True
Q4610556,mannequin,manager,l.a.-s.a.-f.o.-',0.32,True
Q864503,biologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q170790,mathématicien ou mathématicienne,informaticien,s.a.-t.a.-f.o.-',0.62,False
Q5157338,scientifique numéricien,musicien,f.a.-b.a.-f.o.-',0.39,True
Q20965770,pratiquant de sports d'hiver,transporteur,b.a.-l.a.-f.o.-',0.3,True
Q117846460,administrator,mentor,s.a.-d.a.-f.o.-',0.34,True
Q23038345,wikipédien,musicien,f.a.-b.a.-f.o.-',0.26,True
Q83460,général,bénévole,m.a.-n.a.-f.o.-',0.15,True
Q155076,personne morale,bénévole,m.a.-n.a.-f.o.-',0.14,True
Q106559804,personne ou organisation,relation publique,l.a.-b.a.-f.o.-',0.41,False
Q87714331,hospitality worker,politicien,s.a.-k.a.-f.o.-',0.1,True
Q108289643,waiters and bartenders,partenaire,m.a.-d.a.-f.o.-',0.3,True
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q108290289,cadres supérieurs de l’administration publique,relation publique,l.a.-b.a.-f.o.-',0.71,False
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q16533,juge,juré,k.a.-n.a.-f.o.-',0.33,True
Q599151,haut fonctionnaire ou haute fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',0.97,False
Q4594605,magistrat ou magistrate,écologiste,l.a.-f.a.-f.o.-',0.24,True
Q482980,auteur ou autrice,auteur,b.a.-b.a.-f.o.-',0.92,False
Q16533,juge,juré,k.a.-n.a.-f.o.-',0.33,True
Q95074,personnage de fiction,fonctionnaire,t.a.-k.a.-f.o.-',0.35,True
Q2700922,horloger,manager,l.a.-s.a.-f.o.-',0.33,True
Q209726,marquis,manager,l.a.-s.a.-f.o.-',0.17,True
Q1292119,style,bénévole,m.a.-n.a.-f.o.-',0.2,True
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q189290,officier,officier,l.a.-k.a.-f.o.-',1.0,False
Q1930187,journaliste,journaliste,n.a.-b.a.-f.o.-',1.0,False
Q3330547,chroniqueur,joueur,m.a.-b.a.-f.o.-',0.41,False
Q3779582,microbiologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q140686,président ou présidente,précurseur,s.a.-n.a.-f.o.-',0.24,True
Q63858690,supervisory board member,mere,f.a.-m.a.-f.o.-',0.2,True
Q108290635,garment and related patternmakers and cutters,relation publique,l.a.-b.a.-f.o.-',0.28,True
Q3126128,généticien ou généticienne,politicien,s.a.-k.a.-f.o.-',0.53,False
Q6337803,neurobiologiste,écologiste,l.a.-f.a.-f.o.-',0.74,False
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q115484611,musique,musicien,f.a.-b.a.-f.o.-',0.43,False
Q173799,divertissement,investisseur,t.a.-d.a.-f.o.-',0.34,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q864503,biologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q864503,biologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q864503,biologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q3126128,généticien ou généticienne,politicien,s.a.-k.a.-f.o.-',0.53,False
Q864503,biologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q783906,neurologue,psychologue,s.a.-f.a.-f.o.-',0.57,False
Q3368718,pathologiste,écologiste,l.a.-f.a.-f.o.-',0.7,False
Q28640,profession,procureur,b.a.-n.a.-f.o.-',0.24,True
Q12737077,activité,activiste,b.a.-k.a.-f.o.-',0.74,False
Q108504472,Fachangestellter,familier,m.a.-m.a.-f.o.-',0.17,True
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q1658894,illusionniste,activiste,b.a.-k.a.-f.o.-',0.27,True
Q108289408,artistes créateurs ou créatrices et exécutants ou exécutantes,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.21,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q170790,mathématicien ou mathématicienne,informaticien,s.a.-t.a.-f.o.-',0.62,False
Q931260,meurtrier ou meurtrière,ouvrier,m.a.-l.a.-f.o.-',0.37,True
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q1198887,directeur musical ou directrice musicale,musicien,f.a.-b.a.-f.o.-',0.6,False
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q183816,maîtrise,manager,l.a.-s.a.-f.o.-',0.17,True
Q47064,militaire,publicitaire,b.a.-d.a.-f.o.-',0.47,False
Q4539,coopérative,activiste,b.a.-k.a.-f.o.-',0.12,True
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q212238,fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',1.0,False
Q15986539,officiel du sport,officier,l.a.-k.a.-f.o.-',0.7,False
Q73145133,personnalité du jeu d'échecs,journaliste,n.a.-b.a.-f.o.-',0.22,True
Q40348,avocat ou avocate,avocat,n.a.-t.a.-f.o.-',0.95,False
Q1144278,évêque diocésain,relation publique,l.a.-b.a.-f.o.-',0.21,True
Q102039658,évêque catholique romain,relation publique,l.a.-b.a.-f.o.-',0.38,True
Q1638918,ordinaire,partenaire,m.a.-d.a.-f.o.-',0.5,False
Q22881,prince-évêque,relation publique,l.a.-b.a.-f.o.-',0.24,True
Q13426709,suffragant,enfant,d.a.-m.a.-f.o.-',0.34,True
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q3332438,médecin spécialiste,médecin,n.a.-f.a.-f.o.-',0.75,False
Q2487799,mycologue,psychologue,s.a.-f.a.-f.o.-',0.55,False
Q1930187,journaliste,journaliste,n.a.-b.a.-f.o.-',1.0,False
Q30093123,enquêteur,acteur,s.a.-b.a.-f.o.-',0.29,True
Q3914,école,écologiste,l.a.-f.a.-f.o.-',0.41,False
Q17135920,expert interdisciplinaire d'une région géographique,cartographe,l.a.-t.a.-f.o.-',0.31,True
Q1086863,chroniqueur ou chroniqueuse,joueur,m.a.-b.a.-f.o.-',0.3,True
Q13219447,journaliste sportif ou journaliste sportive,journaliste,n.a.-b.a.-f.o.-',0.89,False
Q36180,écrivain ou écrivaine,écologiste,l.a.-f.a.-f.o.-',0.11,True
Q12797895,occultiste,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.28,True
Q7140620,partisan,partenaire,m.a.-d.a.-f.o.-',0.46,False
Q28528178,raciste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q1498321,contraire,notaire,m.a.-t.a.-f.o.-',0.32,True
Q201788,historien ou historienne,ouvrier,m.a.-l.a.-f.o.-',0.18,True
Q17135920,expert interdisciplinaire d'une région géographique,cartographe,l.a.-t.a.-f.o.-',0.31,True
Q212071,recteur ou rectrice,lecteur,b.a.-s.a.-f.o.-',0.52,False
Q18931911,théoricien ou théoricienne,musicien,f.a.-b.a.-f.o.-',0.51,False
Q15980158,auteur ou autrice de non-fiction,auteur,b.a.-b.a.-f.o.-',0.72,False
Q15980804,professionnel des médias,médiateur,m.a.-s.a.-f.o.-',0.5,False
Q18931911,théoricien ou théoricienne,musicien,f.a.-b.a.-f.o.-',0.51,False
Q17167049,spécialiste de la littérature,journaliste,n.a.-b.a.-f.o.-',0.43,False
Q1125062,rebelle,bénévole,m.a.-n.a.-f.o.-',0.11,True
Q2159907,criminel ou criminelle,ouvrier,m.a.-l.a.-f.o.-',0.13,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q7569,enfant,enfant,d.a.-m.a.-f.o.-',1.0,False
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q599151,haut fonctionnaire ou haute fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',0.97,False
Q1930187,journaliste,journaliste,n.a.-b.a.-f.o.-',1.0,False
Q1731155,orientaliste,journaliste,n.a.-b.a.-f.o.-',0.52,False
Q15936497,africaniste,activiste,b.a.-k.a.-f.o.-',0.42,False
Q82594,informaticien ou informaticienne,informaticien,s.a.-t.a.-f.o.-',0.99,False
Q14565186,chercheur ou chercheuse en sciences cognitives,politicien,s.a.-k.a.-f.o.-',0.2,True
Q15976092,chercheur ou chercheuse en intelligence artificielle,officier,l.a.-k.a.-f.o.-',0.25,True
Q14467526,linguiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q14467526,linguiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q17135920,expert interdisciplinaire d'une région géographique,cartographe,l.a.-t.a.-f.o.-',0.31,True
Q110038490,modern philologist,écologiste,l.a.-f.a.-f.o.-',0.5,False
Q15976717,sociolinguiste,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.28,True
Q14467526,linguiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q2306091,sociologue,psychologue,s.a.-f.a.-f.o.-',0.52,False
Q483501,artiste,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q22082717,eugéniste,activiste,b.a.-k.a.-f.o.-',0.42,False
Q6430706,critique,relation publique,l.a.-b.a.-f.o.-',0.33,True
Q255274,col blanc,ancêtre,t.a.-m.a.-f.o.-',0.14,True
Q36180,écrivain ou écrivaine,écologiste,l.a.-f.a.-f.o.-',0.11,True
Q695829,promotion immobilière,relation publique,l.a.-b.a.-f.o.-',0.26,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q1191714,col bleu,comptable,b.a.-t.a.-f.o.-',0.19,True
Q1021386,militant des droits civiques,consultant,f.a.-s.a.-f.o.-',0.23,True
Q1642960,polémiste,activiste,b.a.-k.a.-f.o.-',0.32,True
Q702269,professionnel ou professionnelle,procureur,b.a.-n.a.-f.o.-',0.22,True
Q1639378,système social,travailleur social,f.a.-n.a.-f.o.-',0.56,False
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q3778211,personnalité juridique,juré,k.a.-n.a.-f.o.-',0.23,True
Q4830453,firme,infirmier / soignant,b.a.-f.a.-f.o.-',0.27,True
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q12859263,orateur ou oratrice,médiateur,m.a.-s.a.-f.o.-',0.36,True
Q4991371,soldat,avocat,n.a.-t.a.-f.o.-',0.16,True
Q3621491,archéologue,psychologue,s.a.-f.a.-f.o.-',0.5,False
Q2468727,érudit classique,relation publique,l.a.-b.a.-f.o.-',0.29,True
Q1792450,historien ou historienne de l'art,agent de,d.a.-l.a.-f.o.-',0.18,True
Q16063546,historien ou historienne des sciences,musicien,f.a.-b.a.-f.o.-',0.21,True
Q18533509,rédacteur d'ouvrages de médecine,médecin,n.a.-f.a.-f.o.-',0.66,False
Q26481809,dirigeant sportif,transporteur,b.a.-l.a.-f.o.-',0.36,True
Q2588761,travailleur qualifié ou travailleuse qualifiée,travailleur social,f.a.-n.a.-f.o.-',0.78,False
Q108290465,"sports coaches, instructors and officials",officier,l.a.-k.a.-f.o.-',0.52,False
Q1930187,journaliste,journaliste,n.a.-b.a.-f.o.-',1.0,False
Q28640,profession,procureur,b.a.-n.a.-f.o.-',0.24,True
Q108289030,"spécialistes de la justice, des sciences sociales et de la culture",travailleur social,f.a.-n.a.-f.o.-',0.28,True
Q57735705,personnalité liée au droit,journaliste,n.a.-b.a.-f.o.-',0.19,True
Q14467526,linguiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q18524037,indianiste,activiste,b.a.-k.a.-f.o.-',0.28,True
Q84505214,spécialiste de l'Asie de l'Est,journaliste,n.a.-b.a.-f.o.-',0.36,True
Q1139055,receveur des finances,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.35,True
Q106753996,receveur général,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.36,True
Q18931911,théoricien ou théoricienne,musicien,f.a.-b.a.-f.o.-',0.51,False
Q15958642,écrivain ou écrivaine politique,politicien,s.a.-k.a.-f.o.-',0.43,False
Q18930007,philosophe politique,philosophe,s.a.-s.a.-f.o.-',0.78,False
Q25713832,dirigeant ou dirigeante,enfant,d.a.-m.a.-f.o.-',0.15,True
Q110007257,livestock worker,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q1368409,éleveur,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.64,False
Q8011071,dresseur,investisseur,t.a.-d.a.-f.o.-',0.46,False
Q30185,maire,notaire,m.a.-t.a.-f.o.-',0.43,False
Q140686,président ou présidente,précurseur,s.a.-n.a.-f.o.-',0.24,True
Q48942,élève,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.16,True
Q48282,étudiant ou étudiante,étudiant,d.a.-s.a.-f.o.-',0.97,False
Q4964182,philosophe,philosophe,s.a.-s.a.-f.o.-',1.0,False
Q48942,élève,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.16,True
Q48282,étudiant ou étudiante,étudiant,d.a.-s.a.-f.o.-',0.97,False
Q25616474,musicien d'un instrument de la famille des bois,musicien,f.a.-b.a.-f.o.-',0.63,False
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q16004431,plongeur,acteur,s.a.-b.a.-f.o.-',0.17,True
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q2891167,batelier,familier,m.a.-m.a.-f.o.-',0.41,False
Q12797895,occultiste,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.28,True
Q4594605,magistrat ou magistrate,écologiste,l.a.-f.a.-f.o.-',0.24,True
Q177529,bourgmestre,ancêtre,t.a.-m.a.-f.o.-',0.28,True
Q600751,procureur ou procureure,procureur,b.a.-n.a.-f.o.-',0.98,False
Q16009129,magistrat,écologiste,l.a.-f.a.-f.o.-',0.22,True
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q3349700,officier de la Marine française,officier,l.a.-k.a.-f.o.-',0.87,False
Q43845,personnalité du monde des affaires,fonctionnaire,t.a.-k.a.-f.o.-',0.24,True
Q185351,juriste,secouriste,f.a.-l.a.-f.o.-',0.55,False
Q20826540,érudit,éditeur,t.a.-b.a.-f.o.-',0.19,True
Q108290615,"bakers, pastry-cooks and confectionery makers",fonctionnaire,t.a.-k.a.-f.o.-',0.25,True
Q16004431,plongeur,acteur,s.a.-b.a.-f.o.-',0.17,True
Q1797362,ingénierie côtière,père,n.a.-m.a.-f.o.-',0.39,True
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q1895303,forestier ou forestière,investisseur,t.a.-d.a.-f.o.-',0.23,True
