Terme_Wikidata,ID_Wikidata,Match_1_IEML,Score_1,Match_2_IEML,Score_2,Match_3_IEML,Score_3
chercheur ou chercheuse en intelligence artificielle,Q15976092,officier,0.2514,archiviste,0.1437,inventeur,0.1178
botaniste,Q2374149,activiste,0.3339,archiviste,0.3029,secouriste,0.3015
guitariste,Q855091,secouriste,0.4118,activiste,0.2426,archiviste,0.2201
bassiste,Q584301,activiste,0.3339,archiviste,0.3029,secouriste,0.3015
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
bienfaiteur ou bienfaitrice,Q4887411,enfant,0.3723,éditeur,0.2763,acteur,0.1185
évêque catholique,Q611644,relation publique,0.4001,psychologue,0.1079,avocat,0.0563
évêque catholique romain,Q102039658,relation publique,0.3846,psychologue,0.1037,avocat,0.0541
évêque diocésain,Q1144278,relation publique,0.2115,diplomate,0.0987,voisin,0.0888
suffragant,Q13426709,enfant,0.3372,aidant,0.3337,étudiant,0.2789
ordinaire,Q1638918,partenaire,0.5009,fonctionnaire,0.4316,notaire,0.367
photographe professionnel,Q98084799,cartographe,0.6519,philosophe,0.1314,procureur,0.1099
tisserand,Q437512,investisseur,0.4224,transporteur,0.0723,guerrier,0.0
lutteur,Q27978698,acteur,0.4339,auteur,0.374,lecteur,0.357
chef de mission diplomatique,Q1251687,diplomate,0.6617,relation publique,0.2636,agent de,0.1363
haut-commissaire,Q99318874,notaire,0.3526,secrétaire,0.2802,partenaire,0.2773
ambassadeur ou ambassadrice,Q121998,vendeur,0.2385,défendeur,0.1987,assureur,0.1776
doyen,Q4958876,citoyen,0.5589,pourvoyeur,0.074,musicien,0.0564
géoscientifique,Q11424604,relation publique,0.3032,client,0.1961,musicien,0.1323
clerc catholique,Q105200214,relation publique,0.376,psychologue,0.0925,client,0.0747
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
cuivriste,Q25829748,secouriste,0.4546,activiste,0.2678,archiviste,0.243
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
théologien chrétien,Q55737401,écologiste,0.3112,musicien,0.2228,politicien,0.1985
écrivain ou écrivaine,Q36180,écologiste,0.1108,travailleur social,0.0853,cultivateur / éleveur,0.0847
membre d'équipe de cinéma,Q17291399,agent de,0.2883,mere,0.169,citoyen,0.0902
scénographe,Q2707485,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
chercheur ou chercheuse en sciences sociales,Q15319501,travailleur social,0.3971,acteurs sociaux,0.321,musicien,0.1212
naturaliste,Q18805,journaliste,0.5943,activiste,0.2532,archiviste,0.2297
chercheur médical,Q15401884,médiateur,0.5094,médecin,0.2144,éditeur,0.139
military scientist,Q104176943,familier,0.2181,client,0.1867,politicien,0.1812
guide de haute montagne,Q819677,guide spirituel,0.4736,agent de,0.225,auteur,0.2093
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
marin,Q45199,manager,0.1838,voisin,0.1443,témoin,0.1443
humaniste,Q10527030,activiste,0.3769,archiviste,0.3419,secouriste,0.3403
artiste,Q483501,archiviste,0.3646,activiste,0.3108,secouriste,0.2806
auteur ou autrice,Q482980,auteur,0.9201,acteur,0.116,lecteur,0.0955
intellectuel ou intellectuelle,Q58968,lecteur,0.2458,guide spirituel,0.2306,inventeur,0.1121
manager,Q2462658,manager,1.0,agent de,0.0548,amant/e,0.0485
work colleague,Q1863288,psychologue,0.2107,écologiste,0.0874,guerrier,0.0825
survivant,Q6136036,enfant,0.1948,aidant,0.1929,étudiant,0.1612
victime du régime nazi,Q2026714,réformateur,0.1264,législateur,0.1222,activiste,0.113
témoin contemporain,Q187157,témoin,0.8636,consultant,0.1214,voisin,0.0814
victime de crime de guerre,Q46076028,guerrier,0.435,agent de,0.3336,guide spirituel,0.0911
sport de puissance,Q337979,transporteur,0.3246,agent de,0.2177,guide spirituel,0.0793
rabbin,Q133485,voisin,0.2224,témoin,0.2224,médecin,0.2055
aumônier militaire,Q918824,publicitaire,0.4253,notaire,0.3774,secrétaire,0.3
service militaire,Q209572,publicitaire,0.4503,notaire,0.3996,secrétaire,0.3651
criminel ou criminelle,Q2159907,ouvrier,0.1278,bénévole,0.0935,comptable,0.0877
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
extrémiste,Q104080200,activiste,0.4206,archiviste,0.3816,secouriste,0.3798
militant ou militante,Q15253558,consultant,0.2383,familier,0.2326,enfant,0.0938
délinquant,Q1184268,enfant,0.2209,aidant,0.2187,étudiant,0.1827
délinquant,Q897438,enfant,0.2209,aidant,0.2187,étudiant,0.1827
radical,Q122167768,traducteur,0.1617,travailleur social,0.1117,frère/socur,0.0
haut fonctionnaire ou haute fonctionnaire,Q599151,fonctionnaire,0.9719,partenaire,0.2101,notaire,0.1539
reggae,Q9794,relation publique,0.1594,guerrier,0.0,législateur,0.0
mathématiques,Q395,informaticien,0.209,relation publique,0.1997,réformateur,0.1058
First Order of Saint Francis,Q2888028,officier,0.1438,infirmier / soignant,0.1249,ancêtre,0.0987
expert interdisciplinaire d'une région géographique,Q17135920,cartographe,0.3087,relation publique,0.2519,partenaire,0.2264
philologue,Q13418253,psychologue,0.4626,philosophe,0.3848,écologiste,0.115
Southeast Asianist,Q100253449,assureur,0.1309,étudiant,0.1248,acteurs sociaux,0.0742
gouverneur romain,Q1190123,entrepreneur,0.262,ouvrier,0.0995,acteur,0.0844
fonctionnaire,Q212238,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
combattant,Q1414937,consultant,0.3937,comptable,0.2151,enfant,0.1526
personne,Q215627,fonctionnaire,0.1774,guerrier,0.0,traducteur,0.0
médecin,Q39631,médecin,1.0,médiateur,0.146,voisin,0.0457
activité,Q12737077,activiste,0.7447,acteur,0.2396,acteurs sociaux,0.1239
fonction,Q4164871,fonctionnaire,0.671,relation publique,0.197,fondateur,0.1348
diplomate,Q193391,diplomate,1.0,réformateur,0.0911,hôte,0.0337
directeur ou directrice,Q1162163,lecteur,0.4729,inspecteur,0.3673,acteur,0.2853
représentant,Q11997597,consultant,0.2832,entrepreneur,0.2071,enfant,0.1302
œuvre d'art visuelle à deux dimensions,Q110304307,agent de,0.074,partenaire,0.0729,mentor,0.0717
record,Q107435521,secouriste,0.1454,relation publique,0.1127,guerrier,0.0
image,Q478798,agent de,0.2483,manager,0.2208,guerrier,0.0
œuvre audiovisuelle,Q2431196,auteur,0.1157,ouvrier,0.0937,étudiant,0.0851
distributeur,Q60614978,auteur,0.5609,acteur,0.2134,lecteur,0.1756
entreprise médiatique,Q1331793,médiateur,0.4717,entrepreneur,0.4528,relation publique,0.181
performeur,Q10774753,réformateur,0.3747,informaticien,0.2649,acteur,0.1205
transformiste,Q10384150,transporteur,0.4029,activiste,0.1998,archiviste,0.1813
Akyn,Q1370540,guerrier,0.0,traducteur,0.0,spectateur,0.0
auteur-compositeur-interprète ou autrice-compositrice-interprète,Q488205,auteur,0.6386,éditeur,0.1898,comptable,0.1882
migrant,Q1932461,enfant,0.2209,aidant,0.2187,étudiant,0.1827
chef religieux,Q15995642,relation publique,0.2441,époux,0.1249,acteurs sociaux,0.0792
clerc musulman,Q105275968,musicien,0.3009,client,0.1137,manager,0.0836
ministre,Q83307,ancêtre,0.3254,père,0.0949,mere,0.0949
dirigeant,Q1097498,enfant,0.2209,aidant,0.2187,étudiant,0.1827
neurobiologiste,Q6337803,écologiste,0.7353,activiste,0.1886,archiviste,0.1712
linguiste,Q14467526,activiste,0.3698,archiviste,0.3355,secouriste,0.3339
personne du monde du divertissement,Q138858,investisseur,0.2929,agent de,0.1939,mentor,0.1786
conseiller politique,Q8125919,politicien,0.4382,policier,0.2492,consultant,0.2169
sous-officier,Q158950,officier,0.8883,policier,0.3519,musicien,0.0955
gouverneur provincial de Corée du Sud,Q50616117,travailleur social,0.2499,agent de,0.1896,procureur,0.1672
Ministry of Patriots' and Veterans' Affairs,Q488980,transporteur,0.1895,partenaire,0.108,vendeur,0.0884
ministre des Affaires étrangères,Q7330070,notaire,0.1828,ancêtre,0.173,transporteur,0.1633
ordre religieux catholique,Q391009,relation publique,0.4537,psychologue,0.0829,avocat,0.063
phénomène météorologique,Q16332653,écologiste,0.3152,relation publique,0.2521,psychologue,0.1726
changement,Q1150070,mentor,0.3457,client,0.2631,agent de,0.2602
dirigeant,Q1097498,enfant,0.2209,aidant,0.2187,étudiant,0.1827
membres des corps législatifs et cadres supérieurs de l’administration publique,Q108289363,relation publique,0.5999,législateur,0.4583,publicitaire,0.18
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
fonctionnaire,Q16258947,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
électrotechnique,Q43035,technicien,0.4152,relation publique,0.2001,lecteur,0.1782
exploitant,Q1970438,consultant,0.3527,enfant,0.1621,aidant,0.1605
personne physique,Q154954,relation publique,0.3299,syndiqué,0.0668,fonctionnaire,0.0648
explorateur ou exploratrice,Q11900058,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
soldat,Q4991371,avocat,0.1563,fondateur,0.145,acteurs sociaux,0.0818
professionnel ou professionnelle de la santé,Q11974939,procureur,0.2055,producteur,0.205,fonctionnaire,0.1898
professionnel des médias,Q15980804,médiateur,0.5037,médecin,0.1538,procureur,0.1387
membre d'équipe de cinéma,Q17291399,agent de,0.2883,mere,0.169,citoyen,0.0902
astronaute,Q11631,auteur,0.4389,assureur,0.1128,hôte,0.0756
chanoine,Q1104153,témoin,0.2606,guerrier,0.0,diplomate,0.0
personne,Q215627,fonctionnaire,0.1774,guerrier,0.0,traducteur,0.0
élevage sélectif des animaux,Q227675,cultivateur / éleveur,0.2572,lecteur,0.1885,acteurs sociaux,0.1232
élevage,Q80962,cultivateur / éleveur,0.3601,agent de,0.0868,manager,0.0772
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
bibliothécaire,Q182436,notaire,0.4332,publicitaire,0.3957,secrétaire,0.3443
prêtre,Q42603,ancêtre,0.519,procureur,0.0673,producteur,0.0672
professeur ou professeure d'université,Q1622272,investisseur,0.3578,procureur,0.2553,précurseur,0.2326
personnel académique,Q5428874,relation publique,0.3119,acteur,0.0901,syndiqué,0.0632
chargé ou chargée de cours,Q1569495,agent de,0.2041,secouriste,0.1487,acteurs sociaux,0.1394
ministre,Q83307,ancêtre,0.3254,père,0.0949,mere,0.0949
culture,Q11042,cultivateur / éleveur,0.3391,assureur,0.0751,adulte,0.0733
activité économique,Q8187769,activiste,0.5396,relation publique,0.2003,acteur,0.1736
lubie,Q13427002,guerrier,0.0,traducteur,0.0,spectateur,0.0
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
profession historique,Q16335296,relation publique,0.3835,procureur,0.1541,producteur,0.1537
vil métier,Q2493023,ouvrier,0.2415,policier,0.2406,officier,0.2306
folk musician,Q101084010,musicien,0.7401,étudiant,0.0604,fondateur,0.0532
distinction,Q618779,fonctionnaire,0.3966,relation publique,0.2351,activiste,0.0869
titre de civilité,Q216353,agent de,0.2571,ancêtre,0.1846,citoyen,0.0805
signe clinique,Q1441305,relation publique,0.2931,client,0.2671,syndiqué,0.0594
signes et symptômes digestifs,Q54926352,investisseur,0.2137,syndiqué,0.0838,diplomate,0.0806
expulsion,Q779939,relation publique,0.2684,fonctionnaire,0.0881,guerrier,0.0
col bleu,Q1191714,comptable,0.1927,écologiste,0.1048,consultant,0.0852
salarié,Q703534,allié,0.2887,guerrier,0.0,législateur,0.0
être humain,Q5,ancêtre,0.519,témoin,0.0773,voisin,0.0773
partisan,Q7140620,partenaire,0.4596,investisseur,0.0712,cartographe,0.059
jewish extremist,Q121122151,ancêtre,0.1683,entrepreneur,0.1284,activiste,0.1124
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
soliste,Q1371914,journaliste,0.4398,activiste,0.275,archiviste,0.2495
littérature,Q8242,politicien,0.1424,assureur,0.1313,procureur,0.1251
littérature slave,Q7539371,politicien,0.1188,législateur,0.1133,assureur,0.1096
étudiant de troisième cycle,Q18245166,étudiant,0.8505,agent de,0.1733,voisin,0.1512
expert,Q381160,guerrier,0.0,traducteur,0.0,spectateur,0.0
propriété personnelle,Q499094,procureur,0.2381,producteur,0.2375,bénévole,0.08
prisonnier ou prisonnière,Q1862087,père,0.2017,ouvrier,0.1557,fonctionnaire,0.1104
produit,Q2424752,producteur,0.6563,procureur,0.188,précurseur,0.0519
biologiste,Q864503,écologiste,0.7881,activiste,0.2022,archiviste,0.1834
professionnel des musées,Q47090899,musicien,0.2272,procureur,0.1703,producteur,0.1699
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
courtier,Q160117,secouriste,0.2502,ouvrier,0.1633,policier,0.1627
homme de lettres,Q6673651,agent de,0.3563,lecteur,0.1365,ancêtre,0.093
personnalité juridique,Q3778211,juré,0.2314,relation publique,0.2092,syndiqué,0.1438
painters and related workers,Q108305399,relation publique,0.3385,législateur,0.1139,acteurs sociaux,0.0892
peintre en bâtiment,Q288728,entrepreneur,0.2476,mentor,0.2217,ancêtre,0.1798
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
percussionniste,Q4351403,activiste,0.3108,archiviste,0.2819,secouriste,0.2806
ministre du culte,Q1423891,adulte,0.3833,cultivateur / éleveur,0.2485,ancêtre,0.1529
archdeacon,Q99530891,archiviste,0.4383,consultant,0.0706,relation publique,0.0563
pseudo-scientifique,Q22082749,relation publique,0.276,client,0.1785,musicien,0.1205
musicien d'un instrument de la famille des bois,Q25616474,musicien,0.6284,familier,0.3119,agent de,0.2367
athlète,Q11513337,hôte,0.2343,adulte,0.182,activiste,0.1553
théoricien ou théoricienne,Q18931911,musicien,0.5062,politicien,0.4511,technicien,0.4353
peintre,Q1028181,ancêtre,0.2667,entrepreneur,0.2507,mere,0.0778
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
artiste visuel ou artiste visuelle,Q3391743,archiviste,0.3556,activiste,0.3172,secouriste,0.2301
plasticien,Q98552221,politicien,0.5572,informaticien,0.4801,musicien,0.4174
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
théologie,Q34178,écologiste,0.4815,psychologue,0.1978,juré,0.0
fonction publique,Q294414,relation publique,0.63,fonctionnaire,0.4785,publicitaire,0.2311
haut fonctionnaire ou haute fonctionnaire,Q599151,fonctionnaire,0.9719,partenaire,0.2101,notaire,0.1539
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
joueur professionnel ou joueuse professionnelle,Q18536342,joueur,0.75,procureur,0.1549,producteur,0.1546
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
Meister,Q2309621,activiste,0.2298,archiviste,0.2085,secouriste,0.2075
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
personnalité politique,Q82955,politicien,0.5083,policier,0.2419,relation publique,0.1787
préfet,Q371909,précurseur,0.2594,défendeur,0.1025,réformateur,0.0979
speaker,Q28503751,spectateur,0.3401,inspecteur,0.1082,guide spirituel,0.0792
avocat ou avocate,Q40348,avocat,0.9493,diplomate,0.0554,ouvrier,0.0341
juriste,Q185351,secouriste,0.5493,juré,0.2839,activiste,0.2205
prêtre,Q42603,ancêtre,0.519,procureur,0.0673,producteur,0.0672
tribunal de première instance,Q3125101,père,0.2124,agent de,0.2048,inspecteur,0.1549
moine orthodoxe,Q91187063,témoin,0.3909,transporteur,0.0957,guerrier,0.0
prêtre orthodoxe,Q19340487,ancêtre,0.4807,transporteur,0.0722,procureur,0.0623
étudiant,Q2248623,étudiant,1.0,enfant,0.094,aidant,0.0931
historien ou historienne,Q201788,ouvrier,0.1787,musicien,0.1431,mentor,0.1408
philologue,Q13418253,psychologue,0.4626,philosophe,0.3848,écologiste,0.115
hagiographe,Q17166634,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
musicien d'un instrument de la famille des bois,Q25616474,musicien,0.6284,familier,0.3119,agent de,0.2367
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
auteur ou autrice,Q482980,auteur,0.9201,acteur,0.116,lecteur,0.0955
exégète,Q21185790,hôte,0.2343,adulte,0.182,activiste,0.1553
justice environnementale,Q1479527,mentor,0.2412,juré,0.1179,entrepreneur,0.0855
fonctionnaire,Q212238,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
poète ou poétesse,Q49757,policier,0.1566,politicien,0.1356,pourvoyeur,0.1289
porte-parole,Q17221,transporteur,0.3462,bénévole,0.1926,partenaire,0.1172
directeur musical ou directrice musicale,Q1198887,musicien,0.5998,lecteur,0.2521,inspecteur,0.1958
musicien d'église,Q355493,musicien,0.9719,politicien,0.256,technicien,0.2471
titre honorifique,Q3320743,relation publique,0.3201,ancêtre,0.1959,syndiqué,0.0648
artiste,Q483501,archiviste,0.3646,activiste,0.3108,secouriste,0.2806
créateur ou créatrice,Q2500638,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
travailleur qualifié ou travailleuse qualifiée,Q2588761,travailleur social,0.7801,traducteur,0.1122,transporteur,0.0938
concepteur ou conceptrice de jeu,Q3630699,consultant,0.2493,agent de,0.1695,acteur,0.1155
opérateur de marché,Q1424605,agent de,0.2465,médiateur,0.2265,fondateur,0.2244
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
extrémiste de gauche,Q121092921,activiste,0.2918,agent de,0.2894,archiviste,0.2648
extrémiste,Q104080200,activiste,0.4206,archiviste,0.3816,secouriste,0.3798
ingénieur civil,Q13582652,inventeur,0.1566,inspecteur,0.1506,innovateur,0.147
philosophe,Q4964182,philosophe,1.0,cartographe,0.0902,pharmacien,0.0333
réalisateur ou réalisatrice,Q3455803,journaliste,0.2604,réformateur,0.2349,médiateur,0.1585
voice director,Q4660927,mentor,0.2739,voisin,0.2711,lecteur,0.0745
marin,Q45199,manager,0.1838,voisin,0.1443,témoin,0.1443
militaire,Q47064,publicitaire,0.465,notaire,0.4127,secrétaire,0.328
arbitre sportif ou arbitre sportive,Q202648,transporteur,0.3527,ancêtre,0.1699,archiviste,0.0635
Conseil de gestion,Q29584790,consultant,0.2595,relation publique,0.1954,agent de,0.1714
conseil,Q63769412,consultant,0.3921,enseignant,0.2071,comptable,0.0578
mouvement religieux,Q1826286,mentor,0.2308,client,0.1756,agent de,0.1737
intercultural dialogue,Q3706689,psychologue,0.3864,cultivateur / éleveur,0.105,inventeur,0.0901
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
artiste de rue,Q2914170,archiviste,0.2893,activiste,0.2466,agent de,0.2445
acteur ou actrice,Q33999,acteur,0.9123,acteurs sociaux,0.4389,activiste,0.2541
pionnier,Q937283,fonctionnaire,0.2427,ouvrier,0.1766,policier,0.176
personne,Q215627,fonctionnaire,0.1774,guerrier,0.0,traducteur,0.0
sales and purchasing agents and brokers,Q108289423,agent de,0.5673,ancêtre,0.1192,voisin,0.0646
agent économique,Q1415187,agent de,0.6449,relation publique,0.2001,écologiste,0.1363
partie,Q1686000,partenaire,0.4974,cartographe,0.0639,guerrier,0.0
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
fonctionnaire,Q212238,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
piéton,Q221488,relation publique,0.1594,guerrier,0.0,législateur,0.0
créateur ou créatrice,Q2500638,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
manager,Q2462658,manager,1.0,agent de,0.0548,amant/e,0.0485
religieux,Q4504549,relation publique,0.2441,époux,0.1249,acteurs sociaux,0.0792
saxhorn,Q787557,guerrier,0.0,traducteur,0.0,spectateur,0.0
ensemble musical composé uniquement de chanteurs,Q29881373,musicien,0.3285,comptable,0.2685,enseignant,0.2069
éditeur,Q985394,éditeur,1.0,médiateur,0.1525,acteur,0.1439
application,Q166142,relation publique,0.4168,fonctionnaire,0.1394,avocat,0.0809
sport de combat,Q7128792,transporteur,0.3123,agent de,0.2095,comptable,0.1586
lutte,Q42486,hôte,0.2343,adulte,0.182,activiste,0.1553
divertissement,Q173799,investisseur,0.3387,mentor,0.2066,client,0.1572
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
joueur professionnel ou joueuse professionnelle,Q18536342,joueur,0.75,procureur,0.1549,producteur,0.1546
acteur ou actrice de doublage,Q2405480,acteur,0.802,acteurs sociaux,0.3859,agent de,0.2239
profession agricole,Q19261760,bénévole,0.1958,procureur,0.1717,producteur,0.1712
field crop and vegetable growers,Q108290536,comptable,0.5279,vendeur,0.0778,ancêtre,0.0699
personnalité du monde des affaires,Q43845,fonctionnaire,0.2398,journaliste,0.1648,agent de,0.1413
personnes déplacées,Q706601,défendeur,0.1577,fonctionnaire,0.1255,guerrier,0.0
hanshi,Q11625076,transporteur,0.1913,guerrier,0.0,législateur,0.0
médecin spécialiste,Q3332438,médecin,0.754,journaliste,0.3311,activiste,0.1411
business and administration professionals,Q108286992,relation publique,0.3307,fonctionnaire,0.1341,procureur,0.1231
jiangjun,Q15903946,étudiant,0.2274,guerrier,0.0,traducteur,0.0
chef de gouvernement,Q2285706,agent de,0.4617,mentor,0.2453,client,0.1867
responsable,Q1251441,comptable,0.4035,consultant,0.0672,transporteur,0.0644
copiste,Q499134,activiste,0.3769,archiviste,0.3419,secouriste,0.3403
télégraphiste,Q2024200,cartographe,0.3144,activiste,0.2205,archiviste,0.2
maison d'édition,Q2085381,relation publique,0.2839,éditeur,0.2129,fonctionnaire,0.1218
maraîcher,Q19914236,manager,0.2924,ouvrier,0.0961,policier,0.0957
voile,Q14085739,voisin,0.3991,bénévole,0.0935,comptable,0.0877
dirigeant,Q1097498,enfant,0.2209,aidant,0.2187,étudiant,0.1827
manager,Q2462658,manager,1.0,agent de,0.0548,amant/e,0.0485
impresario,Q943995,entrepreneur,0.1834,guerrier,0.0,législateur,0.0
orientaliste,Q1731155,journaliste,0.5182,activiste,0.2208,archiviste,0.2003
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
joueur professionnel ou joueuse professionnelle,Q18536342,joueur,0.75,procureur,0.1549,producteur,0.1546
législateur ou législatrice,Q4175034,législateur,0.9643,médiateur,0.0803,fondateur,0.0796
charge élective,Q17279032,lecteur,0.2626,activiste,0.1984,cultivateur / éleveur,0.1963
personne,Q215627,fonctionnaire,0.1774,guerrier,0.0,traducteur,0.0
profession,Q28640,procureur,0.2381,producteur,0.2375,relation publique,0.1975
entraîneur sportif,Q41583,entrepreneur,0.4025,transporteur,0.3451,spectateur,0.0793
journaliste,Q1930187,journaliste,1.0,secouriste,0.1649,activiste,0.1505
personnalité liée au sport,Q50995749,transporteur,0.2885,journaliste,0.146,fonctionnaire,0.1338
publiciste,Q6051619,publicitaire,0.6073,relation publique,0.2987,activiste,0.1935
patineur ou patineuse sur glace,Q9394993,entrepreneur,0.2159,assureur,0.1048,partenaire,0.1013
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
fan,Q193432,enfant,0.1944,familier,0.161,législateur,0.0
tailleur ou tailleuse,Q242468,travailleur social,0.5171,notaire,0.0578,secrétaire,0.0459
designer,Q5322166,agent de,0.179,infirmier / soignant,0.1351,enseignant,0.1131
rébellion,Q124734,relation publique,0.2055,allié,0.1313,réformateur,0.0968
prestataire,Q13420330,notaire,0.4796,secrétaire,0.3812,publicitaire,0.3518
ingénieur militaire,Q151197,publicitaire,0.4454,notaire,0.3953,secrétaire,0.3142
psychothérapie corporelle,Q1416259,psychologue,0.5285,comptable,0.0817,transporteur,0.0455
expressive therapy,Q838202,cartographe,0.1305,entrepreneur,0.1297,guerrier,0.0
électricien,Q165029,musicien,0.3719,politicien,0.3314,technicien,0.3198
"pelt dressers, tanners and fellmongers",Q108290640,acteurs sociaux,0.1312,manager,0.0854,ancêtre,0.085
tanneur,Q365461,entrepreneur,0.3073,acteur,0.099,consultant,0.0932
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
travailleur qualifié ou travailleuse qualifiée,Q2588761,travailleur social,0.7801,traducteur,0.1122,transporteur,0.0938
electrotechnology engineers,Q108289382,technicien,0.3472,lecteur,0.2236,écologiste,0.1429
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
acteur ou actrice,Q33999,acteur,0.9123,acteurs sociaux,0.4389,activiste,0.2541
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
crime against life,Q16688120,agent de,0.192,inspecteur,0.1621,frère/socur,0.0
homicide,Q149086,guide spirituel,0.2606,agent de,0.1243,policier,0.0682
mort non naturelle,Q855919,relation publique,0.1234,notaire,0.1013,assureur,0.0771
crime,Q83267,guerrier,0.0,traducteur,0.0,spectateur,0.0
calamité,Q1689296,familier,0.161,cartographe,0.1305,guerrier,0.0
travailleur ou travailleuse,Q327055,travailleur social,0.7999,traducteur,0.115,transporteur,0.0962
notation navale,Q337902,notaire,0.3789,relation publique,0.3208,fonctionnaire,0.1073
idole japonaise,Q226008,bénévole,0.3242,partenaire,0.0898,comptable,0.0896
mannequin de charme,Q3286043,agent de,0.2388,manager,0.2124,pharmacien,0.1902
statisticien ou statisticienne,Q2732142,politicien,0.4365,informaticien,0.4231,musicien,0.3061
chercheur ou chercheuse en sciences sociales,Q15319501,travailleur social,0.3971,acteurs sociaux,0.321,musicien,0.1212
methodologist,Q12771457,écologiste,0.6539,psychologue,0.1353,mere,0.0846
architecture,Q12271,archiviste,0.5152,éditeur,0.076,lecteur,0.0595
décorateur d'intérieur,Q2133309,médiateur,0.3099,fondateur,0.307,spectateur,0.289
conseiller ou conseillère,Q2994387,consultant,0.3471,enseignant,0.1833,père,0.1189
consultor,Q5164608,consultant,0.6941,mentor,0.1885,adulte,0.0464
pirate en sécurité informatique,Q2798820,informaticien,0.6123,réformateur,0.2882,relation publique,0.1807
contrevenant ou contrevenante,Q1938980,consultant,0.2236,enseignant,0.185,entrepreneur,0.1517
éleveur,Q1368409,cultivateur / éleveur,0.6431,acteur,0.0537,auteur,0.0463
chef religieux,Q15995642,relation publique,0.2441,époux,0.1249,acteurs sociaux,0.0792
degré,Q586277,juré,0.2357,agent de,0.192,guerrier,0.0
entraîneur sportif,Q41583,entrepreneur,0.4025,transporteur,0.3451,spectateur,0.0793
graveur ou graveuse d'estampes,Q11569986,cultivateur / éleveur,0.1997,travailleur social,0.1005,cartographe,0.0906
gardien de prison,Q311396,agent de,0.2863,musicien,0.1504,politicien,0.134
warden,Q115472199,musicien,0.1781,citoyen,0.1771,politicien,0.1587
homme ou femme forte,Q7623231,transporteur,0.222,ouvrier,0.1024,fondateur,0.0819
athlète,Q11513337,hôte,0.2343,adulte,0.182,activiste,0.1553
cavalier,Q2730732,familier,0.3622,ouvrier,0.1355,policier,0.135
gymnaste,Q16947675,activiste,0.2919,archiviste,0.2648,secouriste,0.2636
athlète,Q11513337,hôte,0.2343,adulte,0.182,activiste,0.1553
coureur à pied,Q12803959,assureur,0.4412,procureur,0.4203,secouriste,0.1853
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
athlète,Q11513337,hôte,0.2343,adulte,0.182,activiste,0.1553
arbitre sportif ou arbitre sportive,Q202648,transporteur,0.3527,ancêtre,0.1699,archiviste,0.0635
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
